date,type,reg,operator,location,fatalities,damage_level
24-05-2022,de Havilland Canada DHC-3T Turbine Otter,N703TH,Yakutat Coastal Airlines,"near Dry Bay Airport, AK",0,Medium
25-05-2022,Airbus A320-232,N483UA,United Airlines,"Springfield, MO",0,Low
28-05-2022,Beechcraft B200 King Air,ZS-PTE,Unknown,near Lynedoch Private Airfield,0,Medium
29-05-2022,de Havilland Canada DHC-6 Twin Otter 300,9N-AET,Tara Air,Sanosware,22,High
02-06-2022,Cessna 525 CitationJet,N131PL,Kam Aviation LLC,"Natchitoches Regional Airport, LA",0,Medium
03-06-2022,Cessna 208B Supervan 900,N7581F,GoJump Oceanside,"0,5 km E of Oceanside Municipal Airport, CA (OCN/KOKB)",1,Medium
04-06-2022,Cessna 208 Caravan I,N90JF,Connecticut Parachutists,"Ellington Airport, CT (7B9)",0,Medium
07-06-2022,Shorts SC.7 Skyvan 3-200,N731E,Alaskan Air Charter,"Chisana Field, AK (CZN)",0,Medium
07-06-2022,Bombardier BD-100-1A10 Challenger 300,N694PD,Pacific Dental Services,"Hawthorne Airport, CA (HHR)",0,Low
10-06-2022,Airbus A319,others,others,near DÃ¼sseldorf,0,Low
13-06-2022,Cessna 550 Citation II,N550GX,Northern Meridian LLC,"Fargo-Hector International Airport, ND (FAR)",0,Medium
15-06-2022,Beechcraft B200 Super King Air,OO-LET,ASL - Air Service Liege,LiÃ¨ge Airport (LGG),0,Medium
16-06-2022,Boeing 737-3M8 (QC),9S-ABJ,Gomair,Kananga Airport (KGA),0,Medium
17-06-2022,Boeing 777-228ER,F-GSPQ,Air France,"New York-John F. Kennedy International Airport, NY (JFK)",0,Low
17-06-2022,Airbus A330-202,EI-EJL,ITA Airways,"New York-John F. Kennedy International Airport, NY (JFK)",0,Low
21-06-2022,McDonnell Douglas MD-82,HI1064,RED Air,"Miami International Airport, FL (MIA)",0,High
21-06-2022,Antonov An-2R,RA-17742,Techservice,"46 km SE of Sebyan-Kyuel, Kobyaysky District",2,High
22-06-2022,Learjet 55C,YV3304,private,7 km SSE of Charallave-Ã“scar Machado Zuloaga Airport,6,High
22-06-2022,Antonov An-30M,30001,NPP Mir,70 km SE of Olenyok Airport (ONK),0,Medium
24-06-2022,Ilyushin Il-76MD,RF-78778,Russian Air Force,5 km ESE of Ryazan-Dyagilevo Air Base,5,High
25-06-2022,de Havilland Canada DHC-8-402Q Dash 8,JA854A,"All Nippon Airways - ANA, opb ANA Wings",40 km WSW of Tokushima Airport,0,Low
26-06-2022,Cessna 208 Supervan 900,N265KP,Alaska Seaplanes,"Elfin Cove Seaplane Base, AK (ELV)",0,Medium
01-07-2022,Antonov An-12BK,UR-11316,Motor Sich,Uzhgorod Airport (UKLU),0,Medium
01-07-2022,Boeing 737-7H4 (WL),N480WN,Southwest Airlines,"Santa Ana-John Wayne International Airport, CA (SNA/KSNA)",0,Low
01-07-2022,Learjet 35A,LV-BPA,Flying America SA,"Río Grande-Gobernador Ramón Trejo Noel International Airport, TF (RGA)",4,High
13-07-2022,Gulfstream G450,HZ-A23,Alpha Star Aviation Services,Jeddah-King Abdulaziz International Airport (JED),0,Medium
13-07-2022,Cessna 208B Super Cargomaster,N877FE,Corporate Air,"Salt Lake City International Airport, UT (SLC)",0,Medium
15-07-2022,Raytheon Beechjet 400A,N400MX,"Aircraft Management Group, Inc","Brunswick-Glynco Jetport, GA (BQK)",0,Medium
